Unnamed: 0,Source.Name,text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,Sentiment,emoji_text,emoji_count,text_no_emoji,text_clean,text_no_stopwords,place,sentiment
0,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,memang murah wey:pensive_face:,2,0.0,06/18/2025 13:39:03,nurftyha_,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.7815463871935e+18,7.51715972461871e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6fef8af493c49e60a7cd1a51743aba32~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=094e3a86&x-expires=1763481600&x-signature=vvJ80x19Nq%2BO%2FC8XZrUSKXZn%2FEA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,[':pensive_face:'],1,memang murah wey,memang murah wey,murah wey,Potlepak Changlun,positive
1,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,aq kalau bella makanteringat arwah suamiaq mesti bgth dydy mesti cakap nanti kita g yelast arwah bawak aq g atien creap sbb aq tunjuk bella makan creap duriann9kedahperlis last arwah bawak kami anak beranak ke utara:pensive_face:rindunyer,1384,27.0,06/14/2025 19:26:18,niezahamzah,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.75199168383779e+18,7.51576487812211e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b993b4f68d39d63c6388a070e91dce3c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=07c4b76d&x-expires=1763481600&x-signature=L6OqaYraE8P4%2FXXhMHEZIo425gY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,[':pensive_face:'],1,aq kalau bella makanteringat arwah suamiaq mesti bgth dydy mesti cakap nanti kita g yelast arwah bawak aq g atien creap sbb aq tunjuk bella makan creap duriann9kedahperlis last arwah bawak kami anak beranak ke utararindunyer,aq kalau bella makanteringat arwah suamiaq mesti bgth dydy mesti cakap nanti kita g yelast arwah bawak aq g atien creap sbb aq tunjuk bella makan creap duriann9kedahperlis last arwah bawak kami anak beranak ke utararindunyer,aq bella makanteringat arwah suamiaq mesti bgth dydy mesti cakap g yelast arwah bawak aq g atien creap sbb aq bella makan creap duriann9kedahperlis arwah bawak anak beranak utararindunyer,Potlepak Changlun,positive
2,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,sedapmurahjauh:check_mark_button:complete set:loudly_crying_face:,408,4.0,06/14/2025 21:08:40,zha_vhahieyr,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,7.10906100003372e+18,7.51579125430878e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/057b4f6618c69f2d6c021dce59cc78e0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9ef175c&x-expires=1763481600&x-signature=HDromvWJsiyH69S6WjQKLre4ICc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,"[':check_mark_button:', ':loudly_crying_face:']",2,sedapmurahjauhcomplete set,sedapmurahjauhcomplete set,sedapmurahjauhcomplete set,Potlepak Changlun,positive
3,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,setakat la aku p kedai yg bella review alhamdulilah sedap kena dgn tekak insyaallah nk p sini pulak,364,6.0,06/14/2025 19:36:06,kakmasdhiya,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.99004001382438e+18,7.51576739561025e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/84fa4d6d439f81b0b2df80794b0de373~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1207d7a7&x-expires=1763481600&x-signature=EROPAxuvhHy3ks3Pq%2FFdej4dfsE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,[],0,setakat la aku p kedai yg bella review alhamdulilah sedap kena dgn tekak insyaallah nk p sini pulak,setakat la aku p kedai yg bella review alhamdulilah sedap kena dgn tekak insyaallah nk p sini pulak,setakat la p kedai bella review alhamdulilah sedap kena tekak insyaallah p pulak,Potlepak Changlun,positive
4,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,baju dia mcm pari² cinderella,85,1.0,06/14/2025 19:00:55,ainaseptember,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.87062429541828e+18,7.51575830766463e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/dc550261647c59306daf4f97f8e793a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c6d3d161&x-expires=1763481600&x-signature=73TUxVGnME6vLNhGph35JxuKHTs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,[],0,baju dia mcm pari² cinderella,baju dia mcm pari cinderella,baju pari cinderella,Potlepak Changlun,negative
5,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,org luaq kedah msti payah nk pcaya hrga2 mknn kat kedah murah2 weyy :loudly_crying_face::loudly_crying_face: sbb tu kami yg trpksa pindah kluaq kedah ni kami rasa tertekan kos makanan mahai :face_with_tears_of_joy:,5,0.0,06/17/2025 13:06:03,st20242025,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.82250019997568e+18,7.51678012056216e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5db430f180a6a0ea72e7f948e7441aeb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=90501501&x-expires=1763481600&x-signature=DaaBtYhDc2CX%2BD3Pe7DGUu8w7r0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,"[':loudly_crying_face:', ':loudly_crying_face:', ':face_with_tears_of_joy:']",3,org luaq kedah msti payah nk pcaya hrga2 mknn kat kedah murah2 weyy sbb tu kami yg trpksa pindah kluaq kedah ni kami rasa tertekan kos makanan mahai,org luaq kedah msti payah nk pcaya hrga2 mknn kat kedah murah2 weyy sbb tu kami yg trpksa pindah kluaq kedah ni kami rasa tertekan kos makanan mahai,luaq kedah msti payah pcaya hrga2 mknn kedah murah2 weyy sbb tu trpksa pindah kluaq kedah ni tertekan kos makanan mahai,Potlepak Changlun,negative
6,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,makn sampai tak sedaq sampai ke mlm:face_with_tears_of_joy:,5,0.0,06/17/2025 09:48:24,penututan,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.95055990338785e+18,7.51672917547994e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b64526f98ce080fca6e3e4af0bb3591d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4754e3a7&x-expires=1763481600&x-signature=7akFaF44BS9GIr3i3u1J0inE%2Bmc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,[':face_with_tears_of_joy:'],1,makn sampai tak sedaq sampai ke mlm,makn sampai tak sedaq sampai ke mlm,makn sedaq mlm,Potlepak Changlun,negative
7,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,sebelum bella park mai kami mai dahhhhh:grinning_face_with_sweat::smiling_face_with_hearts: sedap n paduuu sj nk habaq kami mai dari penang ihik:face_with_tears_of_joy:,5,0.0,06/15/2025 09:17:08,dlia.ann.kz,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,7.17049655664216e+18,7.5159789152208e+18,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9894e6954dace1f51768a70c440e7f4f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7e496729&x-expires=1763481600&x-signature=BHKxfaLhMeG1LXiEM6Cn15ZEyGc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,"[':grinning_face_with_sweat:', ':smiling_face_with_hearts:', ':face_with_tears_of_joy:']",3,sebelum bella park mai kami mai dahhhhh sedap n paduuu sj nk habaq kami mai dari penang ihik,sebelum bella park mai kami mai dahhhhh sedap n paduuu sj nk habaq kami mai dari penang ihik,bella park mai mai dahhhhh sedap n paduuu sj habaq mai penang ihik,Potlepak Changlun,negative
8,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,kami simpan video ninnti kami nk p harap dpt sama mcm dlm video bella ni nahh:beaming_face_with_smiling_eyes:,18,5.0,06/16/2025 10:11:37,mua_zaza_muapadangserai,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.80840545896605e+18,7.51636408040491e+18,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/fa4b10fa7563f31ca242ed5cab6e9f0f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c81ff1db&x-expires=1763481600&x-signature=KLQdchcAHsolqmn95TDhQxnD1y4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,[':beaming_face_with_smiling_eyes:'],1,kami simpan video ninnti kami nk p harap dpt sama mcm dlm video bella ni nahh,kami simpan video ninnti kami nk p harap dpt sama mcm dlm video bella ni nahh,simpan ninnti p harap bella ni nahh,Potlepak Changlun,negative
9,dataset_tiktok-comments-scraper_2025-11-17_16-35-57-894.csv,memang murah dan sedapsaya org jitra selalu p sana,6,0.0,06/15/2025 00:13:50,zaidi_1974,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,6.57905594025394e+18,7.51583895984793e+18,https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/8ed3d71184218f1da6a4c03c98cdd15a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a46e1541&x-expires=1763481600&x-signature=brB%2FsQXdUK2a4F6Avfh9jm1PsM8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,0,[],0,memang murah dan sedapsaya org jitra selalu p sana,memang murah dan sedapsaya org jitra selalu p sana,murah sedapsaya jitra p,Potlepak Changlun,negative
