Unnamed: 0,text,diggCount,replyCommentTotal,createTimeISO,videoWebUrl,place,text_tokens,bigrams,sentiment,sentiment_score
0,murah wey,2,0.0,06/18/2025 13:39:03,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['murah', 'wey']","[('murah', 'wey')]",neutral,0.749061107635498
1,bella makan arwah suami bgth cakap pergi ye arwah bawak pergi atien creap sbb bella makan creap durian dan-dan-dan-dan-dan-dan-dan-dan-dan kedah perlis arwah bawak anak beranak rindunyer,1384,27.0,06/14/2025 19:26:18,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['bella', 'makan', 'arwah', 'suami', 'bgth', 'cakap', 'pergi', 'ye', 'arwah', 'bawak', 'pergi', 'atien', 'creap', 'sbb', 'bella', 'makan', 'creap', 'durian', 'dan-dan-dan-dan-dan-dan-dan-dan-dan', 'kedah', 'perlis', 'arwah', 'bawak', 'anak', 'beranak', 'rindunyer']","[('bella', 'makan'), ('makan', 'arwah'), ('arwah', 'suami'), ('suami', 'bgth'), ('bgth', 'cakap'), ('cakap', 'pergi'), ('pergi', 'ye'), ('ye', 'arwah'), ('arwah', 'bawak'), ('bawak', 'pergi'), ('pergi', 'atien'), ('atien', 'creap'), ('creap', 'sbb'), ('sbb', 'bella'), ('bella', 'makan'), ('makan', 'creap'), ('creap', 'durian'), ('durian', 'dan-dan-dan-dan-dan-dan-dan-dan-dan'), ('dan-dan-dan-dan-dan-dan-dan-dan-dan', 'kedah'), ('kedah', 'perlis'), ('perlis', 'arwah'), ('arwah', 'bawak'), ('bawak', 'anak'), ('anak', 'beranak'), ('beranak', 'rindunyer')]",neutral,0.44850093126296997
2,sedap murah complete set,408,4.0,06/14/2025 21:08:40,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['sedap', 'murah', 'complete', 'set']","[('sedap', 'murah'), ('murah', 'complete'), ('complete', 'set')]",positive,0.9588548541069031
3,setakat la pergi kedai bella review alhamdulilah sedap kena tekak insyaallah pergi pulak,364,6.0,06/14/2025 19:36:06,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['setakat', 'la', 'pergi', 'kedai', 'bella', 'review', 'alhamdulilah', 'sedap', 'kena', 'tekak', 'insyaallah', 'pergi', 'pulak']","[('setakat', 'la'), ('la', 'pergi'), ('pergi', 'kedai'), ('kedai', 'bella'), ('bella', 'review'), ('review', 'alhamdulilah'), ('alhamdulilah', 'sedap'), ('sedap', 'kena'), ('kena', 'tekak'), ('tekak', 'insyaallah'), ('insyaallah', 'pergi'), ('pergi', 'pulak')]",positive,0.9803807139396667
4,baju pari cinderella,85,1.0,06/14/2025 19:00:55,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['baju', 'pari', 'cinderella']","[('baju', 'pari'), ('pari', 'cinderella')]",positive,0.8870235085487366
5,luaq kedah msti payah pcaya harga-harga mknn kedah murah-murah wey sbb tu trpksa pindah kluaq kedah ni tertekan kos makanan mahai,5,0.0,06/17/2025 13:06:03,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['luaq', 'kedah', 'msti', 'payah', 'pcaya', 'harga-harga', 'mknn', 'kedah', 'murah-murah', 'wey', 'sbb', 'tu', 'trpksa', 'pindah', 'kluaq', 'kedah', 'ni', 'tertekan', 'kos', 'makanan', 'mahai']","[('luaq', 'kedah'), ('kedah', 'msti'), ('msti', 'payah'), ('payah', 'pcaya'), ('pcaya', 'harga-harga'), ('harga-harga', 'mknn'), ('mknn', 'kedah'), ('kedah', 'murah-murah'), ('murah-murah', 'wey'), ('wey', 'sbb'), ('sbb', 'tu'), ('tu', 'trpksa'), ('trpksa', 'pindah'), ('pindah', 'kluaq'), ('kluaq', 'kedah'), ('kedah', 'ni'), ('ni', 'tertekan'), ('tertekan', 'kos'), ('kos', 'makanan'), ('makanan', 'mahai')]",negative,0.5807982683181763
6,makn sedaq,5,0.0,06/17/2025 09:48:24,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['makn', 'sedaq']","[('makn', 'sedaq')]",negative,0.6472902297973633
7,bella park mai mai dah sedap padu sj habaq mai penang ihik,5,0.0,06/15/2025 09:17:08,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['bella', 'park', 'mai', 'mai', 'dah', 'sedap', 'padu', 'sj', 'habaq', 'mai', 'penang', 'ihik']","[('bella', 'park'), ('park', 'mai'), ('mai', 'mai'), ('mai', 'dah'), ('dah', 'sedap'), ('sedap', 'padu'), ('padu', 'sj'), ('sj', 'habaq'), ('habaq', 'mai'), ('mai', 'penang'), ('penang', 'ihik')]",positive,0.5444510579109192
8,simpan ni nnti pergi bella ni nah,18,5.0,06/16/2025 10:11:37,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['simpan', 'ni', 'nnti', 'pergi', 'bella', 'ni', 'nah']","[('simpan', 'ni'), ('ni', 'nnti'), ('nnti', 'pergi'), ('pergi', 'bella'), ('bella', 'ni'), ('ni', 'nah')]",negative,0.46781423687934875
9,murah sedap Jitra pergi,6,0.0,06/15/2025 00:13:50,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['murah', 'sedap', 'Jitra', 'pergi']","[('murah', 'sedap'), ('sedap', 'jitra'), ('jitra', 'pergi')]",positive,0.9242412447929382
10,takutlah pergi makan sedap mampoih,57,6.0,06/15/2025 10:47:50,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['takutlah', 'pergi', 'makan', 'sedap', 'mampoih']","[('takutlah', 'pergi'), ('pergi', 'makan'), ('makan', 'sedap'), ('sedap', 'mampoih')]",positive,0.45697569847106934
11,sanggup penang mai changlun dlu sbb makan potlepak sbb tgk pinat review sedap,6,0.0,06/15/2025 03:01:39,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['sanggup', 'penang', 'mai', 'changlun', 'dlu', 'sbb', 'makan', 'potlepak', 'sbb', 'tgk', 'pinat', 'review', 'sedap']","[('sanggup', 'penang'), ('penang', 'mai'), ('mai', 'changlun'), ('changlun', 'dlu'), ('dlu', 'sbb'), ('sbb', 'makan'), ('makan', 'potlepak'), ('potlepak', 'sbb'), ('sbb', 'tgk'), ('tgk', 'pinat'), ('pinat', 'review'), ('review', 'sedap')]",negative,0.4222397208213806
12,makan bella,6,0.0,06/15/2025 15:32:27,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['makan', 'bella']","[('makan', 'bella')]",neutral,0.7733954191207886
13,sy dh pegi dh memng sdp menu puas hati,5,0.0,06/16/2025 18:14:29,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['sy', 'dh', 'pegi', 'dh', 'memng', 'sdp', 'menu', 'puas', 'hati']","[('sy', 'dh'), ('dh', 'pegi'), ('pegi', 'dh'), ('dh', 'memng'), ('memng', 'sdp'), ('sdp', 'menu'), ('menu', 'puas'), ('puas', 'hati')]",positive,0.5820392966270447
14,port makan kalu sedap,13,2.0,06/14/2025 19:44:20,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['port', 'makan', 'kalu', 'sedap']","[('port', 'makan'), ('makan', 'kalu'), ('kalu', 'sedap')]",positive,0.6762645840644836
15,teringin pergi makan tempat-tempat viral dlu arwah suami rajin melayan da pulang tinggal sy anak jrng makan kt sbb bdua anak kecik lg tnggu sikit bleh la pergi port-port makan viral,7,0.0,06/14/2025 23:56:44,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['teringin', 'pergi', 'makan', 'tempat-tempat', 'viral', 'dlu', 'arwah', 'suami', 'rajin', 'melayan', 'da', 'pulang', 'tinggal', 'sy', 'anak', 'jrng', 'makan', 'kt', 'sbb', 'bdua', 'anak', 'kecik', 'lg', 'tnggu', 'sikit', 'bleh', 'la', 'pergi', 'port-port', 'makan', 'viral']","[('teringin', 'pergi'), ('pergi', 'makan'), ('makan', 'tempat-tempat'), ('tempat-tempat', 'viral'), ('viral', 'dlu'), ('dlu', 'arwah'), ('arwah', 'suami'), ('suami', 'rajin'), ('rajin', 'melayan'), ('melayan', 'da'), ('da', 'pulang'), ('pulang', 'tinggal'), ('tinggal', 'sy'), ('sy', 'anak'), ('anak', 'jrng'), ('jrng', 'makan'), ('makan', 'kt'), ('kt', 'sbb'), ('sbb', 'bdua'), ('bdua', 'anak'), ('anak', 'kecik'), ('kecik', 'lg'), ('lg', 'tnggu'), ('tnggu', 'sikit'), ('sikit', 'bleh'), ('bleh', 'la'), ('la', 'pergi'), ('pergi', 'port-port'), ('port-port', 'makan'), ('makan', 'viral')]",negative,0.46366655826568604
16,set lima puluh sembilan ringgit tu family sy bleh makan bawak plak simpan esok makan bnyak portion,7,0.0,06/14/2025 22:13:43,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['set', 'lima', 'puluh', 'sembilan', 'ringgit', 'tu', 'family', 'sy', 'bleh', 'makan', 'bawak', 'plak', 'simpan', 'esok', 'makan', 'bnyak', 'portion']","[('set', 'lima'), ('lima', 'puluh'), ('puluh', 'sembilan'), ('sembilan', 'ringgit'), ('ringgit', 'tu'), ('tu', 'family'), ('family', 'sy'), ('sy', 'bleh'), ('bleh', 'makan'), ('makan', 'bawak'), ('bawak', 'plak'), ('plak', 'simpan'), ('simpan', 'esok'), ('esok', 'makan'), ('makan', 'bnyak'), ('bnyak', 'portion')]",positive,0.5276452898979187
17,pergi bawak anak baby lagy sedia katil baby lagy makan pown tenang anak tdoq katil sebelah meja,6,0.0,06/14/2025 23:10:57,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['pergi', 'bawak', 'anak', 'baby', 'lagy', 'sedia', 'katil', 'baby', 'lagy', 'makan', 'pown', 'tenang', 'anak', 'tdoq', 'katil', 'sebelah', 'meja']","[('pergi', 'bawak'), ('bawak', 'anak'), ('anak', 'baby'), ('baby', 'lagy'), ('lagy', 'sedia'), ('sedia', 'katil'), ('katil', 'baby'), ('baby', 'lagy'), ('lagy', 'makan'), ('makan', 'pown'), ('pown', 'tenang'), ('tenang', 'anak'), ('anak', 'tdoq'), ('tdoq', 'katil'), ('katil', 'sebelah'), ('sebelah', 'meja')]",positive,0.6027114987373352
18,kna pergi kuantiti makan puas hati knyang dkt umh kali pergi try,5,1.0,06/24/2025 13:57:50,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['kna', 'pergi', 'kuantiti', 'makan', 'puas', 'hati', 'knyang', 'dkt', 'umh', 'kali', 'pergi', 'try']","[('kna', 'pergi'), ('pergi', 'kuantiti'), ('kuantiti', 'makan'), ('makan', 'puas'), ('puas', 'hati'), ('hati', 'knyang'), ('knyang', 'dkt'), ('dkt', 'umh'), ('umh', 'kali'), ('kali', 'pergi'), ('pergi', 'try')]",neutral,0.5373666882514954
19,smpai eh bella,10,0.0,06/14/2025 20:53:25,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['smpai', 'eh', 'bella']","[('smpai', 'eh'), ('eh', 'bella')]",positive,0.5247690677642822
20,kedai fav sekeluarga,43,2.0,06/14/2025 19:22:44,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['kedai', 'fav', 'sekeluarga']","[('kedai', 'fav'), ('fav', 'sekeluarga')]",neutral,0.6065357327461243
21,changlun maju weyhh zaman duk matrik dlu xdak paa kt changlun nih kena pergi nih,14,11.0,06/16/2025 10:15:19,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['changlun', 'maju', 'weyhh', 'zaman', 'duk', 'matrik', 'dlu', 'xdak', 'paa', 'kt', 'changlun', 'nih', 'kena', 'pergi', 'nih']","[('changlun', 'maju'), ('maju', 'weyhh'), ('weyhh', 'zaman'), ('zaman', 'duk'), ('duk', 'matrik'), ('matrik', 'dlu'), ('dlu', 'xdak'), ('xdak', 'paa'), ('paa', 'kt'), ('kt', 'changlun'), ('changlun', 'nih'), ('nih', 'kena'), ('kena', 'pergi'), ('pergi', 'nih')]",neutral,0.9577298164367676
22,pergi portion bella review,8,1.0,06/17/2025 19:48:44,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['pergi', 'portion', 'bella', 'review']","[('pergi', 'portion'), ('portion', 'bella'), ('bella', 'review')]",neutral,0.7194316983222961
23,pergi try bella makan puaih hati makan tersandaq murah sgt tk sia Bedong changlun makan set talam tu,7,2.0,06/17/2025 23:41:31,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['pergi', 'try', 'bella', 'makan', 'puaih', 'hati', 'makan', 'tersandaq', 'murah', 'sgt', 'tk', 'sia', 'Bedong', 'changlun', 'makan', 'set', 'talam', 'tu']","[('pergi', 'try'), ('try', 'bella'), ('bella', 'makan'), ('makan', 'puaih'), ('puaih', 'hati'), ('hati', 'makan'), ('makan', 'tersandaq'), ('tersandaq', 'murah'), ('murah', 'sgt'), ('sgt', 'tk'), ('tk', 'sia'), ('sia', 'bedong'), ('bedong', 'changlun'), ('changlun', 'makan'), ('makan', 'set'), ('set', 'talam'), ('talam', 'tu')]",positive,0.6551668643951416
24,cerah smpai gelap bella makan,19,2.0,06/14/2025 19:14:07,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['cerah', 'smpai', 'gelap', 'bella', 'makan']","[('cerah', 'smpai'), ('smpai', 'gelap'), ('gelap', 'bella'), ('bella', 'makan')]",positive,0.5823177695274353
25,tngh ngidam bella tk makan tngok bella makan pulak cari makan adoii,15,1.0,06/14/2025 19:43:25,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['tngh', 'ngidam', 'bella', 'tk', 'makan', 'tngok', 'bella', 'makan', 'pulak', 'cari', 'makan', 'adoii']","[('tngh', 'ngidam'), ('ngidam', 'bella'), ('bella', 'tk'), ('tk', 'makan'), ('makan', 'tngok'), ('tngok', 'bella'), ('bella', 'makan'), ('makan', 'pulak'), ('pulak', 'cari'), ('cari', 'makan'), ('makan', 'adoii')]",neutral,0.6810829639434814
26,pergi makan green sebelah potlepak tobat sedap,104,33.0,06/14/2025 22:27:18,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['pergi', 'makan', 'green', 'sebelah', 'potlepak', 'tobat', 'sedap']","[('pergi', 'makan'), ('makan', 'green'), ('green', 'sebelah'), ('sebelah', 'potlepak'), ('potlepak', 'tobat'), ('tobat', 'sedap')]",positive,0.640480637550354
